tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
	This study	DE-SPEC	sample direction.		169.4	-48.3	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08g	sv08	sv08g1
74.2	This study			-20									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08h	sv08	
	This study	DE-SPEC	sample direction.		156.6	-44.8	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08h	sv08	sv08h1
357.7	This study			-6									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08i	sv08	
182.8	This study			-13									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08j	sv08	
62.4	This study			-40									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09a	sv09	
93.3	This study			-61									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09b	sv09	
46.7	This study			-31									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09c	sv09	
73.2	This study			-21									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09d	sv09	
72.6	This study			-37									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09e	sv09	
	This study	DE-SPEC	sample direction.		242.7	-69	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv09e	sv09	sv09e1
79.1	This study			-36									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09f	sv09	
	This study	DE-SPEC	sample direction.		277	-61.2	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv09f	sv09	sv09f1
43.6	This study			-33									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09g	sv09	
81.1	This study			-36									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09h	sv09	
96.1	This study			-32									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09i	sv09	
	This study	DE-SPEC	sample direction.		242.5	-68.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv09i	sv09	sv09i1
68.7	This study			-61									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09j	sv09	
	This study	DE-SPEC	sample direction.		230.6	-67.7	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv09j	sv09	sv09j1
91.3	This study			-33									Igneous	Lava Flow	35.442	Basalt	248.081	FS-FD:SO-POM:SO-SUN	g		sv09k	sv09	
58.6	This study			-35									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10a	sv10	
	This study		sample direction.		222.6	45.2	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv10a	sv10	sv10a1
43.8	This study			-76.5									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10b	sv10	
62.9	This study			-59									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10c	sv10	
	This study		sample direction.		264.7	14.7	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv10c	sv10	sv10c1
13.3	This study			-48									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10d	sv10	
338.8	This study			-44									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10e	sv10	
45.7	This study			-80									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10f	sv10	
	This study		sample direction.		344.5	-34.7	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv10f	sv10	sv10f1
65	This study			-44									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv10g	sv10	
	This study		sample direction.		139.9	27.6	1	0	1			0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-CMD-NORTH:LP-DIR-AF			sv10g	sv10	sv10g1
355.1	This study			-35									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10h	sv10	
19.1	This study			-48									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10i	sv10	
16.3	This study			-40									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10j	sv10	
	This study		sample direction.		93.7	6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv10j	sv10	sv10j1
5.8	This study			-40									Igneous	Lava Flow	35.2631	Basalt	248.173	FS-FD:SO-POM:SO-SUN	g		sv10k	sv10	
35.6	This study			-97									Igneous	Lava Flow	35.263	Basalt	248.174	FS-FD:SO-POM:SO-SUN	g		sv11a	sv11	
	This study		sample direction.		206.7	45.6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv11a	sv11	sv11a1
41.7	This study			-84									Igneous	Lava Flow	35.263	Basalt	248.174	FS-FD:SO-POM:SO-SUN	g		sv11b	sv11	
	This study		sample direction.		149	42.9	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv11b	sv11	sv11b1
37.3	This study			-66									Igneous	Lava Flow	35.263	Basalt	248.174	FS-FD:SO-POM:SO-SUN	g		sv11d	sv11	
