tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	254	-10.3	26.5	20			0	LP-DIR-AF:sv09a1	Igneous	Lava Flow		Basalt	723	0.03	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN:DE-BFL:LP-DIR-AF		sv09a	sv09a1
This study										Igneous	Lava Flow		Basalt						sv09c	sv09c1
This study										Igneous	Lava Flow		Basalt						sv09d	sv09d1
This study										Igneous	Lava Flow		Basalt						sv09d	sv09d2
This study	Recalculated from original measurements; supercedes published results.	242.7	-69	1.8	12			0	LP-DIR-AF:sv09e1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv09e	sv09e1
This study	Recalculated from original measurements; supercedes published results.	277	-61.2	2.1	13			0	LP-DIR-AF:sv09f1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv09f	sv09f1
This study										Igneous	Lava Flow		Basalt						sv09g	sv09g1
This study	Recalculated from original measurements; supercedes published results.	242.5	-68.6	3.6	10			0	LP-DIR-AF:sv09i1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv09i	sv09i1
This study	Recalculated from original measurements; supercedes published results.	230.6	-67.7	3.2	9			0	LP-DIR-AF:sv09j1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv09j	sv09j1
This study										Igneous	Lava Flow		Basalt						sv09k	sv09k1
This study										Igneous	Lava Flow		Basalt						sv09k	sv09k2
This study	Recalculated from original measurements; supercedes published results.	222.6	45.2	1.2	12			0	LP-DIR-AF:sv10a1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv10a	sv10a1
This study	Recalculated from original measurements; supercedes published results.	264.7	14.7	3	12			0	LP-DIR-AF:sv10c1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv10c	sv10c1
This study										Igneous	Lava Flow		Basalt						sv10c	sv10c2
This study	Recalculated from original measurements; supercedes published results.	344.5	-34.7	1.4	13			0	LP-DIR-AF:sv10f1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv10f	sv10f1
This study	Recalculated from original measurements; supercedes published results.	139.9	27.6	4.5	10			0	LP-DIR-AF:sv10g1	Igneous	Lava Flow		Basalt	0.12	0.01	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv10g	sv10g1
This study	Recalculated from original measurements; supercedes published results.	93.7	6	2.5	13			0	LP-DIR-AF:sv10j1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv10j	sv10j1
This study	Recalculated from original measurements; supercedes published results.	206.7	45.6	3.4	14			0	LP-DIR-AF:sv11a1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv11a	sv11a1
This study	Recalculated from original measurements; supercedes published results.	149	42.9	4.7	11			0	LP-DIR-AF:sv11b1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv11b	sv11b1
This study										Igneous	Lava Flow		Basalt						sv11b	sv11b2
This study										Igneous	Lava Flow		Basalt						sv11e	sv11e1
This study										Igneous	Lava Flow		Basalt						sv11f	sv11f1
This study										Igneous	Lava Flow		Basalt						sv11h	sv11h2
This study	Recalculated from original measurements; supercedes published results.	193.6	-39	1.1	12			0	LP-DIR-AF:sv11k1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv11k	sv11k1
This study	Recalculated from original measurements; supercedes published results.	197.7	-51.2	1.7	13			0	LP-DIR-AF:sv11n1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv11n	sv11n1
This study	Recalculated from original measurements; supercedes published results.	89.5	-21.1	2.1	7			0	LP-DIR-AF:sv12e1	Igneous	Lava Flow		Basalt	0.07	0.01	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv12e	sv12e1
This study										Igneous	Lava Flow		Basalt						sv12e	sv12e2
This study	Recalculated from original measurements; supercedes published results.	42.6	44.2	31.2	20			0	LP-DIR-AF:sv12k1	Igneous	Lava Flow		Basalt	873	0.07	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN:DE-BFL:LP-DIR-AF		sv12k	sv12k1
This study										Igneous	Lava Flow		Basalt						sv12k	sv12k2
This study	Recalculated from original measurements; supercedes published results.	210.1	-21.8	0	2			0	LP-DIR-AF:sv13i1	Igneous	Lava Flow		Basalt	373	0	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN:DE-BFP:LP-DIR-AF		sv13i	sv13i1
This study										Igneous	Lava Flow		Basalt						sv13i	sv13i2
This study	Recalculated from original measurements; supercedes published results.	345.5	24.2	0.9	11			0	LP-DIR-AF:sv15a1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15a	sv15a1
This study	Recalculated from original measurements; supercedes published results.	346.2	26.6	1.8	9			0	LP-DIR-AF:sv15b1	Igneous	Lava Flow		Basalt	0.15	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15b	sv15b1
This study	Recalculated from original measurements; supercedes published results.	351.3	24.5	3	11			0	LP-DIR-AF:sv15c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15c	sv15c1
This study										Igneous	Lava Flow		Basalt						sv15c	sv15c2
This study	Recalculated from original measurements; supercedes published results.	355.3	24.4	2.5	9			0	LP-DIR-AF:sv15d1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15d	sv15d1
This study	Recalculated from original measurements; supercedes published results.	355.2	26.2	1.9	8			0	LP-DIR-AF:sv15f1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15f	sv15f1
This study	Recalculated from original measurements; supercedes published results.	3.4	26.5	2.3	8			0	LP-DIR-AF:sv15h1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv15h	sv15h1
This study										Igneous	Lava Flow		Basalt						sv15h	sv15h2
This study	Recalculated from original measurements; supercedes published results.	350.6	28.4	3.7	5			0	LP-DIR-AF:sv16a1	Igneous	Lava Flow		Basalt	0.15	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv16a	sv16a1
This study	Recalculated from original measurements; supercedes published results.	352.3	28.9	2.7	5			0	LP-DIR-AF:sv16b1	Igneous	Lava Flow		Basalt	0.15	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv16b	sv16b1
This study	Recalculated from original measurements; supercedes published results.	358.7	23.6	4.2	9			0	LP-DIR-AF:sv16c1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv16c	sv16c1
This study										Igneous	Lava Flow		Basalt						sv16c	sv16c2
This study	Recalculated from original measurements; supercedes published results.	359.8	19.8	2.4	8			0	LP-DIR-AF:sv16e1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv16e	sv16e1
This study										Igneous	Lava Flow		Basalt						sv16f	sv16f2
This study	Recalculated from original measurements; supercedes published results.	48	-61.3	3.7	14			0	LP-DIR-AF:sv16h1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv16h	sv16h1
This study										Igneous	Lava Flow		Basalt						sv16h	sv16h2
This study	Recalculated from original measurements; supercedes published results.	202.2	28.4	4.3	12			0	LP-DIR-AF:sv17b1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv17b	sv17b1
This study										Igneous	Lava Flow		Basalt						sv17b	sv17b2
This study	Recalculated from original measurements; supercedes published results.	131.9	62	3.9	12			0	LP-DIR-AF:sv17i1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv17i	sv17i1
This study										Igneous	Lava Flow		Basalt						sv17i	sv17i2
This study	Recalculated from original measurements; supercedes published results.	195.9	-56.1	1.2	10			0	LP-DIR-AF:sv18c1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv18c	sv18c1
This study	Recalculated from original measurements; supercedes published results.	192.5	-56.8	2.7	11			0	LP-DIR-AF:sv18f1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv18f	sv18f1
This study	Recalculated from original measurements; supercedes published results.	197.3	-55.5	1.5	12			0	LP-DIR-AF:sv18g1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv18g	sv18g1
This study										Igneous	Lava Flow		Basalt						sv18g	sv18g2
This study	Recalculated from original measurements; supercedes published results.	193.4	-57.4	0.7	13			0	LP-DIR-AF:sv18h1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv18h	sv18h1
This study	Recalculated from original measurements; supercedes published results.	185.3	-53.5	6.4	11			0	LP-DIR-AF:sv18i1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv18i	sv18i1
This study										Igneous	Lava Flow		Basalt						sv18i	sv18i2
This study	Recalculated from original measurements; supercedes published results.	219	32.4	2.6	11			0	LP-DIR-AF:sv19c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv19c	sv19c1
