tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	measurement	method_codes	quality	specimen	treat_temp
this_study:10.1126/science.265.5178.1561	219.1	36.0	c114-10.44:LP-DIR-T:LT-T-Z	2.99e-06	81	LP-DIR-T:LT-T-Z	g	c114-10.44	448.0
this_study:10.1126/science.265.5178.1561	217.3	23.9	c114-10.44:LP-DIR-T:LT-T-Z	2.6624e-06	82	LP-DIR-T:LT-T-Z	g	c114-10.44	473.0
this_study:10.1126/science.265.5178.1561	214.7	12.2	c114-10.44:LP-DIR-T:LT-T-Z	2.5039000000000003e-06	83	LP-DIR-T:LT-T-Z	g	c114-10.44	498.0
this_study:10.1126/science.265.5178.1561	211.6	5.0	c114-10.44:LP-DIR-T:LT-T-Z	2.3914e-06	84	LP-DIR-T:LT-T-Z	g	c114-10.44	523.0
this_study:10.1126/science.265.5178.1561	211.9	2.5	c114-10.44:LP-DIR-T:LT-T-Z	2.0866e-06	85	LP-DIR-T:LT-T-Z	g	c114-10.44	548.0
this_study:10.1126/science.265.5178.1561	211.6	1.5	c114-10.44:LP-DIR-T:LT-T-Z	1.7681e-06	86	LP-DIR-T:LT-T-Z	g	c114-10.44	573.0
this_study:10.1126/science.265.5178.1561	211.1	1.5	c114-10.44:LP-DIR-T:LT-T-Z	1.4818000000000002e-06	87	LP-DIR-T:LT-T-Z	g	c114-10.44	598.0
this_study:10.1126/science.265.5178.1561	212.1	0.8	c114-10.44:LP-DIR-T:LT-T-Z	1.2275e-06	88	LP-DIR-T:LT-T-Z	g	c114-10.44	623.0
this_study:10.1126/science.265.5178.1561	210.1	0.9	c114-10.44:LP-DIR-T:LT-T-Z	9.828e-07	89	LP-DIR-T:LT-T-Z	g	c114-10.44	648.0
this_study:10.1126/science.265.5178.1561	210.8	0.7	c114-10.44:LP-DIR-T:LT-T-Z	7.849000000000001e-07	90	LP-DIR-T:LT-T-Z	g	c114-10.44	673.0
this_study:10.1126/science.265.5178.1561	211.0	0.1	c114-10.44:LP-DIR-T:LT-T-Z	5.808e-07	91	LP-DIR-T:LT-T-Z	g	c114-10.44	698.0
this_study:10.1126/science.265.5178.1561	209.7	1.5	c114-10.44:LP-DIR-T:LT-T-Z	3.863e-07	92	LP-DIR-T:LT-T-Z	g	c114-10.44	723.0
this_study:10.1126/science.265.5178.1561	213.5	-0.5	c114-10.44:LP-DIR-T:LT-T-Z	2.608e-07	93	LP-DIR-T:LT-T-Z	g	c114-10.44	748.0
this_study:10.1126/science.265.5178.1561	218.5	2.9	c114-10.44:LP-DIR-T:LT-T-Z	1.0460000000000001e-07	94	LP-DIR-T:LT-T-Z	g	c114-10.44	773.0
this_study:10.1126/science.265.5178.1561	211.6	-5.7	c114-10.44:LP-DIR-T:LT-T-Z	2.91e-08	95	LP-DIR-T:LT-T-Z	g	c114-10.44	798.0
this_study:10.1126/science.265.5178.1561	229.3	-20.2	c114-10.44:LP-DIR-T:LT-T-Z	1.79e-08	96	LP-DIR-T:LT-T-Z	g	c114-10.44	823.0
this_study:10.1126/science.265.5178.1561	39.4	-11.6	c114-10.44:LP-DIR-T:LT-T-Z	3.2e-09	97	LP-DIR-T:LT-T-Z	g	c114-10.44	848.0
